id,name,postcode,distance (km),lat,long,tel,rating,acceptNewAdult,parking,Address1,Address2,Address3,Address4,Address5
V000163,K Khan - Lees Dental Centre,OL4 5AA,13.720054403008700,53.537856,-2.072191,Tel: 01615051730,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000163,Adults 18 and over,yes,74 High Street,Lees,NA,Oldham,NA
V005649,"Bupa Dental Care, Barnton",CW8 4HD,28.133767809550000,53.270617,-2.551872,Tel: 01606 74234,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005649,Adults 18 and over,yes,137 Runcorn Road,Barnton,NA,Northwich,Cheshire
V005294,Broad Walk Dental Practice,SK17 6JH,29.27559470655510,53.256819,-1.916242,Tel: 01298 214601,21 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005294,Adults 18 and over,no,3 Grosvenor Mansions,Broad Walk,NA,Buxton,NA
V007407,"mydentist, Hanley Road, Sneyd Green",ST1 6BG,33.05985101345740,53.038253,-2.169675,Tel: 01782219711,29 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007407,Adults 18 and over,yes,NA,125 Hanley Road,Sneyd Green,Stoke-on-Trent,Staffordshire
V003291,Park View Dental Practice,HD1 4DT,36.52175570646790,53.649622,-1.793746,Tel: 01484 423701,65 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003291,Adults 18 and over,no,NA,122 Trinity Street,NA,Huddersfield,West Yorkshire
V006860,"mydentist, King Street, Longton",ST3 1HD,37.077133046552300,52.990597,-2.136982,Tel: 01782334940,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006860,Adults 18 and over,no,St Johns Chambers,537 King Street,Longton,Stoke-on-Trent,Staffordshire
V005315,Stocksbridge Dental Practice,S36 1BX,48.9294771707194,53.482334,-1.594911,Tel: 01142884050,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005315,Adults 18 and over,no,NA,11 Johnson Street,Stocksbridge,Sheffield,South Yorkshire
V005787,Guilden Sutton Dental Practice,CH3 7SW,49.11567549917210,53.207073,-2.829902,Tel: 01244 301 528,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005787,Adults 18 and over,yes,NA,1 Summerfield Road,Guilden Sutton,Chester,Cheshire
V003819,The Dental House,L13 3DL,51.49008525930950,53.414561,-2.913964,Tel: 0151 228 3643,108 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003819,Adults 18 and over,no,The Dental House,6-12 Derby Lane,Old Swan,Liverpool,Merseyside
V002631,Fountain Dental Practice,LS27 9EN,52.502935339016,53.742949,-1.604902,Tel: 0113 5328111,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002631,Adults 18 and over,yes,Little Fountain Street,Little Fountain Street,Morley,Leeds,West Yorkshire
