id,name,postcode,lat,long,distance,tel,rating,acceptNewAdult,parking,Address1,Address2,Address3,Address4,Address5
V000163,K Khan - Lees Dental Centre,OL4 5AA,53.537856,-2.072191,13.397752139524805,Tel: 01615051730,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000163,Adults 18 and over,yes,74 High Street,Lees,NA,Oldham,NA
V005649,"Bupa Dental Care, Barnton",CW8 4HD,53.270617,-2.551872,28.421184804025852,Tel: 01606 74234,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005649,Adults 18 and over,yes,137 Runcorn Road,Barnton,NA,Northwich,Cheshire
V005294,Broad Walk Dental Practice,SK17 6JH,53.256819,-1.916242,28.92467428132462,Tel: 01298 214601,21 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005294,Adults 18 and over,no,3 Grosvenor Mansions,Broad Walk,NA,Buxton,NA
V007407,"mydentist, Hanley Road, Sneyd Green",ST1 6BG,53.038253,-2.169675,32.93915177924752,Tel: 01782219711,29 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007407,Adults 18 and over,yes,NA,125 Hanley Road,Sneyd Green,Stoke-on-Trent,Staffordshire
V003291,Park View Dental Practice,HD1 4DT,53.649622,-1.793746,36.196272958864704,Tel: 01484 423701,65 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003291,Adults 18 and over,no,NA,122 Trinity Street,NA,Huddersfield,West Yorkshire
V006860,"mydentist, King Street, Longton",ST3 1HD,52.990597,-2.136982,36.93788458436177,Tel: 01782334940,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006860,Adults 18 and over,no,St Johns Chambers,537 King Street,Longton,Stoke-on-Trent,Staffordshire
V005315,Stocksbridge Dental Practice,S36 1BX,53.482334,-1.594911,48.55281537467141,Tel: 01142884050,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005315,Adults 18 and over,no,NA,11 Johnson Street,Stocksbridge,Sheffield,South Yorkshire
V005787,Guilden Sutton Dental Practice,CH3 7SW,53.207073,-2.829902,49.436577218927276,Tel: 01244 301 528,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005787,Adults 18 and over,yes,NA,1 Summerfield Road,Guilden Sutton,Chester,Cheshire
V003819,The Dental House,L13 3DL,53.414561,-2.913964,51.8622575677968,Tel: 0151 228 3643,108 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003819,Adults 18 and over,no,The Dental House,6-12 Derby Lane,Old Swan,Liverpool,Merseyside
V002631,Fountain Dental Practice,LS27 9EN,53.742949,-1.604902,52.1817466371229,Tel: 0113 5328111,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002631,Adults 18 and over,yes,Little Fountain Street,Little Fountain Street,Morley,Leeds,West Yorkshire
V004354,Darton Dental Practice,S75 5HG,53.585499,-1.531659,54.10163647643791,Tel: 01226 387207,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004354,Adults 18 and over,yes,48 Church Street,Darton,NA,Barnsley,NA
V010953,Thompson & Thomas,S6 1TT,53.419002,-1.515194,54.71853704546599,Tel: 0114 2313454,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V010953,Adults 18 and over,yes,Fairlawns Medical Centre,621 Middlewood Road,Hillsborough,SHEFFIELD,South Yorkshire
V002987,Advance Dental Care,LS16 5BG,53.832909,-1.604665,55.30143109131813,Tel: 0113 2751114,12 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002987,Adults 18 and over,yes,NA,188 Butcher Hill,NA,Leeds,West Yorkshire
V005404,Collins & Ball Dental Practice,S11 9PF,53.358253,-1.509767,55.626195075147855,Tel: 0114 266 2212,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005404,Adults 18 and over,no,NA,60 Ecclesall Road South,NA,SHEFFIELD,NA
V005415,School Road Dental Practice,S10 1GQ,53.383026,-1.505438,55.704789327396256,Tel: 0114 2661335,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005415,Adults 18 and over,NA,NA,257 School Road,NA,"Crookes, Sheffield",NA
V005324,Taptonville House Dental Practice,S10 5BQ,53.377887,-1.503844,55.871096669959435,Tel: 0114 3990888,1215 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005324,Adults 18 and over,no,NA,1 Taptonville Road,Broomhill,SHEFFIELD,NA
V005381,LWT Dental Care,S11 8TG,53.36684,-1.504092,55.96031428142081,Tel: 0114 266 2853,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005381,Adults 18 and over,yes,NA,719 Ecclesall Road,Ecclesall,SHEFFIELD,South Yorkshire
V005316,"mydentist, South Road, Walkley",S6 3TA,53.392577,-1.500335,56.012209894179314,Tel: 01142335332,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005316,Adults 18 and over,no,NA,263-265 South Road,Walkley,Sheffield,South Yorkshire
V007268,Hillsborough Family Dental Centre,S6 2SA,53.399165000000004,-1.495791,56.307805069903395,Tel: 0114 234 4810,67 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007268,Adults 18 and over,yes,Hillsborough Family Dental Centre,1 Victor Street,Hillsborough,SHEFFIELD,NA
V005326,Thompson & Thomas,S6 2UB,53.396171,-1.489315,56.81901929925,Tel: 0114 234 3346,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005326,Adults 18 and over,no,Thompson & Thomas,76 Langsett Road,Hillsborough,SHEFFIELD,NA
V004990,Churchfield Dental Centre,S75 2AE,53.556704,-1.490827,56.859944222256885,Tel: 01226 771471,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004990,Adults 18 and over,yes,1 Victoria Crescent West,Barnsley,NA,S Yorkshire,South Yorkshire
V002973,Headingley Dental Care,LS6 1EG,53.812279,-1.569685,56.874340397889384,Tel: 0113 2785630,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002973,Adults 18 and over,yes,Headingley Dental Care,58 Brudenell Road,NA,Leeds,NA
V005121,Yorkshire Smiles Limited,S70 2BB,53.55704,-1.485194,57.28802892712188,Tel: 01226 282579,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005121,Adults 18 and over,yes,Victoria House,Victoria Road,NA,Barnsley,NA
V005440,DENTECARE (BARNSLEY) Ltd,S70 1AW,53.551425,-1.483782,57.345216820897924,Tel: 01226 284153,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005440,Adults 18 and over,NA,NA,18 Pitt Street,NA,Barnsley,NA
V029968,"mydentist, Peel Street, Barnsley",S70 2RA,53.552536,-1.4830429999999999,57.410535737660595,Tel: 01226 244 570,27 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V029968,Adults 18 and over,no,23-27,Peel Street,Barnsley,South Yorkshire,NA
V007487,"mydentist, Stanley Road, Liverpool",L20 3EN,53.449446,-2.989625,57.47492734691872,Tel: 01519221652,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007487,Adults 18 and over,no,NA,200 Stanley Road,NA,Bootle,Merseyside
V005421,765 Dental Care,S7 2BG,53.353505,-1.485814,57.480087902543396,Tel: 01142588549,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005421,Adults 18 and over,NA,NA,765 Abbeydale Road,NA,Sheffield,NA
V004357,"Gibbons, P R",S70 1RY,53.551083,-1.479545,57.662325701472405,Tel: 01226 282954,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004357,Adults 18 and over,yes,2 Hayes Croft,Barnsley,NA,S Yorkshire,NA
V011509,"mydentist, Shalesmoor, Sheffield",S3 8UL,53.388509,-1.475934,57.888539804230696,Tel: 0114 279 5451,20 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011509,Adults 18 and over,no,NA,306-310 Shalesmoor,NA,Sheffield,South Yorkshire
V005406,"mydentist, London Road, Sheffield",S2 4LW,53.368178,-1.476304,58.04007489552439,Tel: 01142550444,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005406,Adults 18 and over,yes,NA,240 - 242 London Road,Highfield,Sheffield,South Yorkshire
V005061,Queens Road Dental Care,S71 1AN,53.553204,-1.473495,58.1372708987896,Tel: 01226 282723,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005061,Adults 18 and over,yes,27 Queens Road,Barnsley,NA,S Yorkshire,NA
V000049,Abbeydale Road Family Dental Centre,S7 1FD,53.365045,-1.475125,58.160148498375754,Tel: 0114 255 4433,70 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000049,Adults 18 and over,no,Abbeydale Road Family Dental Centre,4 - 6 Abbeydale Road,Highfields,SHEFFIELD,Yorkshire
V004348,Oaksmere Dental Surgery,S70 1TS,53.548596,-1.472013,58.210802703707856,Tel: 01226 207444,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004348,Adults 18 and over,yes,99 Doncaster Road,Barnsley,NA,S Yorkshire,NA
V006434,Fern Cottage Dental Practice,S74 0PB,53.497885,-1.462407,58.656205769257454,Tel: 01226 742304,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006434,Adults 18 and over,yes,28 Hoyland Road,Hoyland,NA,Barnsley,NA
V013003,"mydentist, Skinner Lane, Leeds",LS7 1BB,53.803443,-1.531775,59.15178878747497,Tel: 0113 2449900,25 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V013003,Adults 18 and over,no,Burmantofts Dental,Unit 7- 8 Skinner Lane,20:20 House,Leeds,West Yorkshire
V004847,Genesis Dentalcare,S70 3PW,53.546171,-1.444472,60.273704486546514,Tel: 01226 413090,881 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004847,Adults 18 and over,yes,Lynton House - 317 Doncaster Road,Stairfoot,Barnsley,South Yorkshire,NA
V020282,Hoyland Family Dental Centre,S74 9AU,53.499564,-1.438627,60.46717478455827,Tel: 01226 748404,63 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V020282,Adults 18 and over,yes,Hoyland Family Dental Centre,17 Milton Road,Hoyland,Barnsley,NA
V020132,Devonshire Park Dental Centre,CH42 7LX,53.376021,-3.026389,60.64842860543787,Tel: 0151 643 8433,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V020132,Adults 18 and over,yes,Devonshire Park Dental Centre,62 Greenway Road,NA,Birkenhead,NA
V005439,"mydentist, Shiregreen Lane, Sheffield",S5 6AB,53.418581,-1.435601,60.757450360066166,Tel: 01142561511,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005439,Adults 18 and over,yes,NA,73-75 Shiregreen Lane,Wincobank,Sheffield,South Yorkshire
V003010,Roundhay Road Dental Practice,LS8 4HT,53.819293,-1.514677,60.8465868001669,Tel: 0113 2490795,20 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003010,Adults 18 and over,yes,Roundhay Road Dental Practice,313 Roundhay Road,NA,Leeds,NA
