Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Accepting NHS patients by referral only,Value  (Accepting NHS patients by referral only),Banding Classification  (Accepting NHS patients by referral only),Accepting new adult NHS patients,Value  (Accepting new adult NHS patients),Banding Classification  (Accepting new adult NHS patients),Accepting new adult patients entitled to free NHS dental care,Value  (Accepting new adult patients entitled to free NHS dental care),Banding Classification  (Accepting new adult patients entitled to free NHS dental care),Accepting children as new NHS patients,Value  (Accepting children as new NHS patients),Banding Classification  (Accepting children as new NHS patients),Urgent NHS dental appointments,Value  (Urgent NHS dental appointments),Banding Classification  (Urgent NHS dental appointments),Induction loop (Induction loop in place),Car parking (Is there car parking at this organisation?)
Brooklyn Court Dental Practice,V007659,DEN,390 Wilmslow Road,Didsbury,,Manchester,,M20 3NA,Tel: 0161 445 3647,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007659,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
"Bupa Dental Care, Withington",V005047,DEN,429 Wilmslow Road,Manchester,Withington,Lancs,Greater Manchester,M20 4AF,Tel: 0161 445 3104,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005047,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
Copson Street Dental Practice,V005490,DEN,Copson Street Dental,2A copson street,,Withington,Greater Manchester,M20 3HE,Tel: 01614349129,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005490,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,false,no,yes,yes
"mydentist, Morris Street, Manchester ",V009173,DEN,2 Morris Street,,Withington,Manchester,,M20 3HN,Tel: 0161 445 4749,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V009173,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,Data not available
Ocean Dental Ltd,V012430,DEN,169 Mauldeth Road,Withington,,Manchester,,M14 6SG,Tel: 0161 224 7135,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012430,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Fusion Dental ,V007323,DEN,98 Mauldeth Road West,Withington,,Manchester,,M20 1AB,Tel: 0161 434 6239,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007323,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
David Llewellyn Dental Care ,V005480,DEN,162 Parrswood Road,Withington,Manchester,,,M20 9RQ,Tel: 0161 445 9033,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005480,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
The Dental Practice,V005603,DEN,135 Wilbraham Road,Fallowfield,Manchester,,,M14 7DS,Tel: 0161 224 7621,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005603,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Burton Dental Care - Mr Al-Himdani,V012939,DEN,125 Burton Road,Didsbury,,Manchester,,M20 1JP,Tel: 0161 438 0446,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012939,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Avalon Care Dental Practice ,V006410,DEN,283 Slade Lane,Levenshulme,,Manchester,,M19 2HR,Tel: 0161 224 4345,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006410,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
